V1,V2
DB00150,P01350
DB00150,P04156
DB00150,P06280
DB00150,P07098
DB00150,P08174
DB00150,P08473
DB00150,P09110
DB00150,P11168
DB00150,P13716
DB00150,P14207
DB00150,P15144
DB00150,P15328
DB00150,P16066
DB00150,P16233
DB00150,P16444
DB00150,P18858
DB00150,P19634
DB00150,P19801
DB00150,P19971
DB00150,P20594
DB00150,P20618
DB00150,P20813
DB00150,P25092
DB00150,P25116
DB00150,P25815
DB00150,P28062
DB00150,P28065
DB00150,P28074
DB00150,P30518
DB00150,P30559
DB00150,P30872
DB00150,P30874
DB00150,P30988
DB00150,P31327
DB00150,P31391
DB00150,P31639
DB00150,P32238
DB00150,P32239
DB00150,P32245
DB00150,P32745
DB00150,P32754
DB00150,P33032
DB00150,P34981
DB00150,P34998
DB00150,P35346
DB00150,P35610
DB00150,P37088
DB00150,P37288
DB00150,P39900
DB00150,P40306
DB00150,P41968
DB00150,P43220
DB00150,P47901
DB00150,P48735
DB00150,P49146
DB00150,P49327
DB00150,P49354
DB00150,P49356
DB00150,P49721
DB00150,P49916
DB00150,P50135
DB00150,P51168
DB00150,P51170
DB00150,P51172
DB00150,P51788
DB00150,P53396
DB00150,P55157
DB00150,P61073
DB00150,P61626
DB00150,P68133
DB00150,P78348
DB00150,Q01718
DB00150,Q01726
DB00150,Q02643
DB00150,Q04206
DB00150,Q08462
DB00150,Q08828
DB00150,Q13509
DB00150,Q14145
DB00150,Q14534
DB00150,Q15910
DB00150,Q16515
DB00150,Q16602
DB00150,Q16739
DB00150,Q16850
DB00150,Q8TE23
DB00150,Q92800
DB00150,Q92847
DB00150,Q92911
DB00150,Q99519
DB00150,Q9H3S4
DB00150,Q9NQX3
DB00150,Q9UEW3
DB00150,Q9UL51
DB00150,Q9UM07
DB00150,Q9UNN8
DB00150,Q9Y234
DB00150,Q9Y289
DB00150,Q9Y3I0
DB00150,Q9Y3R4
DB00152,O00142
DB00152,O00244
DB00152,O00764
DB00152,O14980
DB00152,O43613
DB00152,O43614
DB00152,O43766
DB00152,O60502
DB00152,O60894
DB00152,O60895
DB00152,O60896
DB00152,O75874
DB00152,P00749
DB00152,P01350
DB00152,P04156
DB00152,P06280
DB00152,P07098
DB00152,P08174
DB00152,P08473
DB00152,P09110
DB00152,P11168
DB00152,P11413
DB00152,P14207
DB00152,P15144
DB00152,P15328
DB00152,P16233
DB00152,P16444
DB00152,P18858
DB00152,P19801
DB00152,P20594
DB00152,P20813
DB00152,P23381
DB00152,P25092
DB00152,P25116
DB00152,P25815
DB00152,P28062
DB00152,P28065
DB00152,P28074
DB00152,P30559
DB00152,P30872
DB00152,P30988
DB00152,P31327
DB00152,P31391
DB00152,P31639
DB00152,P32238
DB00152,P32239
DB00152,P32245
DB00152,P32745
DB00152,P32754
DB00152,P33032
DB00152,P34981
DB00152,P34998
DB00152,P35346
DB00152,P35610
DB00152,P37088
DB00152,P37288
DB00152,P39900
DB00152,P40306
DB00152,P41968
DB00152,P47901
DB00152,P49146
DB00152,P49354
DB00152,P49356
DB00152,P49721
DB00152,P49916
DB00152,P51168
DB00152,P51170
DB00152,P51172
DB00152,P51681
DB00152,P51788
DB00152,P55157
DB00152,P61073
DB00152,P61626
DB00152,P68133
DB00152,P78348
DB00152,Q01718
DB00152,Q01726
DB00152,Q02643
DB00152,Q08828
DB00152,Q13509
DB00152,Q14145
DB00152,Q14534
DB00152,Q15910
DB00152,Q16515
DB00152,Q16602
DB00152,Q16739
DB00152,Q16850
DB00152,Q8TE23
DB00152,Q92800
DB00152,Q92847
DB00152,Q99519
DB00152,Q9NQX3
DB00152,Q9UEW3
DB00152,Q9UGM6
DB00152,Q9UL51
DB00152,Q9UM07
DB00152,Q9UNN8
DB00152,Q9Y234
DB00152,Q9Y289
DB00152,Q9Y3I0
DB00152,Q9Y3R4
DB00158,O00142
DB00158,O00764
DB00158,O14980
DB00158,O43613
DB00158,O43614
DB00158,O43766
DB00158,O60502
DB00158,O60894
DB00158,O60895
DB00158,O60896
DB00158,O75874
DB00158,P07098
DB00158,P08174
DB00158,P09110
DB00158,P16233
DB00158,P16444
DB00158,P20594
DB00158,P23381
DB00158,P28062
DB00158,P28065
DB00158,P28074
DB00158,P30872
DB00158,P30988
DB00158,P31391
DB00158,P32238
DB00158,P32239
DB00158,P32745
DB00158,P33032
DB00158,P34981
DB00158,P35346
DB00158,P35610
DB00158,P40306
DB00158,P41968
DB00158,P49354
DB00158,P49356
DB00158,P49721
DB00158,P50135
DB00158,P55157
DB00158,P61626
DB00158,P68133
DB00158,Q02643
DB00158,Q14534
DB00158,Q16602
DB00158,Q16739
DB00158,Q16850
DB00158,Q8TE23
DB00158,Q92800
DB00158,Q92847
DB00158,Q9H3S4
DB00158,Q9NQX3
DB00158,Q9UEW3
DB00158,Q9UGM6
DB00158,Q9UL51
DB00158,Q9Y234
DB00158,Q9Y289
DB00158,Q9Y3I0
DB00165,O00142
DB00165,O00244
DB00165,O14980
DB00165,O43613
DB00165,O43614
DB00165,O43766
DB00165,O60502
DB00165,O60894
DB00165,O60895
DB00165,O60896
DB00165,O75874
DB00165,P01350
DB00165,P07098
DB00165,P08174
DB00165,P09110
DB00165,P11168
DB00165,P11413
DB00165,P14207
DB00165,P16233
DB00165,P16444
DB00165,P19971
DB00165,P20594
DB00165,P20813
DB00165,P23381
DB00165,P25092
DB00165,P25116
DB00165,P25815
DB00165,P28062
DB00165,P28065
DB00165,P28074
DB00165,P30988
DB00165,P32239
DB00165,P32245
DB00165,P32754
DB00165,P33032
DB00165,P34981
DB00165,P35610
DB00165,P40306
DB00165,P41968
DB00165,P49354
DB00165,P49356
DB00165,P49721
DB00165,P51681
DB00165,P53396
DB00165,P55157
DB00165,P61626
DB00165,P68133
DB00165,Q01718
DB00165,Q01726
DB00165,Q02643
DB00165,Q13509
DB00165,Q14145
DB00165,Q14534
DB00165,Q15910
DB00165,Q16602
DB00165,Q16739
DB00165,Q16850
DB00165,Q8TE23
DB00165,Q92800
DB00165,Q9H3S4
DB00165,Q9UEW3
DB00165,Q9UGM6
DB00165,Q9UL51
DB00165,Q9Y234
DB00165,Q9Y289
DB00165,Q9Y3I0
DB00166,O00142
DB00166,O00764
DB00166,O14980
DB00166,O43613
DB00166,O43614
DB00166,O60502
DB00166,O75874
DB00166,P01350
DB00166,P04156
DB00166,P06280
DB00166,P07098
DB00166,P08174
DB00166,P09110
DB00166,P11168
DB00166,P16233
DB00166,P16444
DB00166,P20594
DB00166,P23381
DB00166,P25815
DB00166,P28062
DB00166,P28065
DB00166,P28074
DB00166,P30518
DB00166,P31391
DB00166,P32238
DB00166,P32239
DB00166,P33032
DB00166,P34981
DB00166,P35610
DB00166,P37288
DB00166,P40306
DB00166,P41968
DB00166,P47901
DB00166,P49146
DB00166,P49354
DB00166,P49356
DB00166,P49916
DB00166,P51172
DB00166,P51788
DB00166,P53396
DB00166,P55157
DB00166,P61626
DB00166,P68133
DB00166,Q02643
DB00166,Q08462
DB00166,Q08828
DB00166,Q13509
DB00166,Q14145
DB00166,Q16602
DB00166,Q16739
DB00166,Q16850
DB00166,Q8TE23
DB00166,Q92800
DB00166,Q92847
DB00166,Q99519
DB00166,Q9H3S4
DB00166,Q9NQX3
DB00166,Q9UEW3
DB00166,Q9UGM6
DB00166,Q9UL51
DB00166,Q9UM07
DB00166,Q9Y3I0
DB00166,Q9Y3R4
DB00183,O00142
DB00183,O00244
DB00183,O00764
DB00183,O14746
DB00183,O43613
DB00183,O43614
DB00183,O43766
DB00183,O60502
DB00183,O60894
DB00183,O60896
DB00183,O75874
DB00183,O95622
DB00183,P01889
DB00183,P06280
DB00183,P07098
DB00183,P08174
DB00183,P08473
DB00183,P09110
DB00183,P11168
DB00183,P11387
DB00183,P11413
DB00183,P13716
DB00183,P14207
DB00183,P15144
DB00183,P16066
DB00183,P16233
DB00183,P16444
DB00183,P18858
DB00183,P19634
DB00183,P19801
DB00183,P20594
DB00183,P20618
DB00183,P20813
DB00183,P23381
DB00183,P25092
DB00183,P25116
DB00183,P25815
DB00183,P28062
DB00183,P28065
DB00183,P28074
DB00183,P30518
DB00183,P30531
DB00183,P30559
DB00183,P30872
DB00183,P30874
DB00183,P30988
DB00183,P31327
DB00183,P31391
DB00183,P31639
DB00183,P32245
DB00183,P32745
DB00183,P32754
DB00183,P33032
DB00183,P34981
DB00183,P34998
DB00183,P35346
DB00183,P35610
DB00183,P37088
DB00183,P37288
DB00183,P40306
DB00183,P41968
DB00183,P43220
DB00183,P47901
DB00183,P48735
DB00183,P49146
DB00183,P49327
DB00183,P49354
DB00183,P49356
DB00183,P49721
DB00183,P49916
DB00183,P50135
DB00183,P51168
DB00183,P51170
DB00183,P51172
DB00183,P51681
DB00183,P51788
DB00183,P53396
DB00183,P55157
DB00183,P61073
DB00183,P61626
DB00183,P68133
DB00183,P78348
DB00183,Q01718
DB00183,Q01726
DB00183,Q02643
DB00183,Q08462
DB00183,Q08828
DB00183,Q13509
DB00183,Q14534
DB00183,Q15910
DB00183,Q16515
DB00183,Q16602
DB00183,Q16739
DB00183,Q16850
DB00183,Q8TE23
DB00183,Q92800
DB00183,Q92847
DB00183,Q92911
DB00183,Q99519
DB00183,Q9H3S4
DB00183,Q9NQX3
DB00183,Q9UEW3
DB00183,Q9UGM6
DB00183,Q9UL51
DB00183,Q9UM07
DB00183,Q9UNN8
DB00183,Q9Y234
DB00183,Q9Y289
DB00183,Q9Y3I0
DB00183,Q9Y3R4
DB00188,O00142
DB00188,O00244
DB00188,O00764
DB00188,O14980
DB00188,O43766
DB00188,O60894
DB00188,O60895
DB00188,O60896
DB00188,O95622
DB00188,P06280
DB00188,P09110
DB00188,P14207
DB00188,P16444
DB00188,P19801
DB00188,P20594
DB00188,P23381
DB00188,P25815
DB00188,P30531
DB00188,P32238
DB00188,P32245
DB00188,P33032
DB00188,P34981
DB00188,P35610
DB00188,P41968
DB00188,P49146
DB00188,P51681
DB00188,P61626
DB00188,P68133
DB00188,P78348
DB00188,Q01718
DB00188,Q02643
DB00188,Q08462
DB00188,Q08828
DB00188,Q16515
DB00188,Q8TE23
DB00188,Q99519
DB00188,Q9H3S4
DB00188,Q9NQX3
DB00188,Q9UGM6
DB00188,Q9UNN8
DB00188,Q9Y234
DB00188,Q9Y289
DB00188,Q9Y3I0
DB00188,Q9Y3R4
DB00198,O00142
DB00198,O00244
DB00198,O14980
DB00198,O43613
DB00198,O43614
DB00198,O43766
DB00198,O60502
DB00198,O60894
DB00198,O60895
DB00198,O60896
DB00198,P01350
DB00198,P07098
DB00198,P08174
DB00198,P09110
DB00198,P11168
DB00198,P11413
DB00198,P13716
DB00198,P16233
DB00198,P19971
DB00198,P20594
DB00198,P20618
DB00198,P20813
DB00198,P23381
DB00198,P25092
DB00198,P25116
DB00198,P25815
DB00198,P28062
DB00198,P28065
DB00198,P28074
DB00198,P30531
DB00198,P30559
DB00198,P30872
DB00198,P30874
DB00198,P30988
DB00198,P31327
DB00198,P31391
DB00198,P32238
DB00198,P32239
DB00198,P32245
DB00198,P32745
DB00198,P32754
DB00198,P33032
DB00198,P34981
DB00198,P34998
DB00198,P35346
DB00198,P35610
DB00198,P39900
DB00198,P40306
DB00198,P41968
DB00198,P49146
DB00198,P49327
DB00198,P49354
DB00198,P49356
DB00198,P49721
DB00198,P50135
DB00198,P51681
DB00198,P53396
DB00198,P55157
DB00198,P61626
DB00198,P68133
DB00198,Q01718
DB00198,Q01726
DB00198,Q02643
DB00198,Q04206
DB00198,Q13509
DB00198,Q14145
DB00198,Q14534
DB00198,Q15910
DB00198,Q16602
DB00198,Q16739
DB00198,Q16850
DB00198,Q8TE23
DB00198,Q92800
DB00198,Q92847
DB00198,Q9H3S4
DB00198,Q9NQX3
DB00198,Q9UEW3
DB00198,Q9UGM6
DB00198,Q9UL51
DB00198,Q9Y234
DB00198,Q9Y289
DB00198,Q9Y3I0
DB00207,O00142
DB00207,O00244
DB00207,O00764
DB00207,O14980
DB00207,O60502
DB00207,O60894
DB00207,O60895
DB00207,O60896
DB00207,O95622
DB00207,P06280
DB00207,P08473
DB00207,P09110
DB00207,P11168
DB00207,P13716
DB00207,P14207
DB00207,P15144
DB00207,P15328
DB00207,P16444
DB00207,P18858
DB00207,P19801
DB00207,P19971
DB00207,P20594
DB00207,P23381
DB00207,P25815
DB00207,P28062
DB00207,P28065
DB00207,P30531
DB00207,P30559
DB00207,P30988
DB00207,P31327
DB00207,P32238
DB00207,P32239
DB00207,P32245
DB00207,P32754
DB00207,P33032
DB00207,P34981
DB00207,P34998
DB00207,P35610
DB00207,P39900
DB00207,P40306
DB00207,P41968
DB00207,P43220
DB00207,P49146
DB00207,P49721
DB00207,P49916
DB00207,P51168
DB00207,P51170
DB00207,P51172
DB00207,P51788
DB00207,P53396
DB00207,P61073
DB00207,P61626
DB00207,P68133
DB00207,Q01718
DB00207,Q01726
DB00207,Q02643
DB00207,Q08462
DB00207,Q08828
DB00207,Q16602
DB00207,Q8TE23
DB00207,Q92911
DB00207,Q99519
DB00207,Q9H3S4
DB00207,Q9NQX3
DB00207,Q9UEW3
DB00207,Q9UGM6
DB00207,Q9Y234
DB00207,Q9Y289
DB00207,Q9Y3I0
DB00207,Q9Y3R4
DB00290,O00142
DB00290,O14980
DB00290,O43613
DB00290,O43614
DB00290,O60894
DB00290,O60896
DB00290,P07098
DB00290,P09110
DB00290,P16233
DB00290,P16444
DB00290,P20594
DB00290,P23381
DB00290,P30559
DB00290,P30872
DB00290,P30988
DB00290,P31327
DB00290,P31391
DB00290,P32238
DB00290,P32239
DB00290,P32245
DB00290,P32745
DB00290,P32754
DB00290,P33032
DB00290,P34998
DB00290,P35346
DB00290,P35610
DB00290,P39900
DB00290,P41968
DB00290,P49146
DB00290,P49354
DB00290,P49356
DB00290,P51681
DB00290,P55157
DB00290,P61626
DB00290,P68133
DB00290,Q02643
DB00290,Q14534
DB00290,Q16602
DB00290,Q16739
DB00290,Q16850
DB00290,Q8TE23
DB00290,Q92800
DB00290,Q92847
DB00290,Q9H3S4
DB00290,Q9NQX3
DB00290,Q9UGM6
DB00290,Q9UL51
DB00290,Q9Y234
DB00290,Q9Y289
DB00290,Q9Y3I0
DB00325,O00142
DB00325,O14980
DB00325,O43614
DB00325,O43766
DB00325,O60502
DB00325,O60894
DB00325,O60895
DB00325,O60896
DB00325,O75874
DB00325,P07098
DB00325,P08174
DB00325,P09110
DB00325,P11168
DB00325,P11413
DB00325,P16233
DB00325,P16444
DB00325,P19971
DB00325,P20618
DB00325,P20813
DB00325,P23381
DB00325,P25092
DB00325,P25116
DB00325,P25815
DB00325,P28062
DB00325,P28065
DB00325,P28074
DB00325,P30872
DB00325,P30988
DB00325,P31391
DB00325,P32238
DB00325,P32245
DB00325,P32745
DB00325,P32754
DB00325,P33032
DB00325,P34981
DB00325,P35346
DB00325,P35610
DB00325,P39900
DB00325,P40306
DB00325,P41968
DB00325,P49354
DB00325,P49356
DB00325,P49721
DB00325,P50135
DB00325,P51681
DB00325,P55157
DB00325,P61626
DB00325,P68133
DB00325,Q02643
DB00325,Q13509
DB00325,Q14145
DB00325,Q14534
DB00325,Q15910
DB00325,Q16602
DB00325,Q16739
DB00325,Q16850
DB00325,Q8TE23
DB00325,Q92800
DB00325,Q92847
DB00325,Q9H3S4
DB00325,Q9NQX3
DB00325,Q9UEW3
DB00325,Q9UGM6
DB00325,Q9UL51
DB00325,Q9Y234
DB00325,Q9Y289
DB00325,Q9Y3I0
DB00348,O00142
DB00348,O00244
DB00348,O00764
DB00348,O14746
DB00348,O14980
DB00348,O43613
DB00348,O43614
DB00348,O43766
DB00348,O60502
DB00348,O60894
DB00348,O60895
DB00348,O60896
DB00348,O75874
DB00348,O95622
DB00348,P00749
DB00348,P01350
DB00348,P01889
DB00348,P04156
DB00348,P06280
DB00348,P07098
DB00348,P08174
DB00348,P08473
DB00348,P09110
DB00348,P11168
DB00348,P11387
DB00348,P11413
DB00348,P13716
DB00348,P14207
DB00348,P15144
DB00348,P15328
DB00348,P16066
DB00348,P16233
DB00348,P16444
DB00348,P18858
DB00348,P19634
DB00348,P19801
DB00348,P19971
DB00348,P20594
DB00348,P20618
DB00348,P20813
DB00348,P23381
DB00348,P25092
DB00348,P25116
DB00348,P25815
DB00348,P28062
DB00348,P28065
DB00348,P28074
DB00348,P30411
DB00348,P30518
DB00348,P30531
DB00348,P30559
DB00348,P30872
DB00348,P30874
DB00348,P30988
DB00348,P31327
DB00348,P31391
DB00348,P31639
DB00348,P32238
DB00348,P32239
DB00348,P32245
DB00348,P32745
DB00348,P33032
DB00348,P34981
DB00348,P34998
DB00348,P35346
DB00348,P35610
DB00348,P37088
DB00348,P37288
DB00348,P39900
DB00348,P40306
DB00348,P41968
DB00348,P43220
DB00348,P47901
DB00348,P48735
DB00348,P49146
DB00348,P49327
DB00348,P49354
DB00348,P49356
DB00348,P49721
DB00348,P49916
DB00348,P50135
DB00348,P51168
DB00348,P51170
DB00348,P51172
DB00348,P51681
DB00348,P51788
DB00348,P53396
DB00348,P55157
DB00348,P61073
DB00348,P61626
DB00348,P68133
DB00348,P78348
DB00348,Q01718
DB00348,Q01726
DB00348,Q02643
DB00348,Q04206
DB00348,Q08462
DB00348,Q08828
DB00348,Q13509
DB00348,Q14145
DB00348,Q14534
DB00348,Q15910
DB00348,Q16515
DB00348,Q16602
DB00348,Q16739
DB00348,Q16850
DB00348,Q8TE23
DB00348,Q92800
DB00348,Q92847
DB00348,Q92911
DB00348,Q99519
DB00348,Q9H3S4
DB00348,Q9NQX3
DB00348,Q9UEW3
DB00348,Q9UGM6
DB00348,Q9UL51
DB00348,Q9UM07
DB00348,Q9UNN8
DB00348,Q9Y234
DB00348,Q9Y289
DB00348,Q9Y3I0
DB00348,Q9Y3R4
DB00384,O00142
DB00384,O14980
DB00384,O43613
DB00384,O43614
DB00384,O43766
DB00384,O60894
DB00384,O60895
DB00384,O60896
DB00384,O75874
DB00384,P01350
DB00384,P07098
DB00384,P08174
DB00384,P09110
DB00384,P16233
DB00384,P16444
DB00384,P19971
DB00384,P20594
DB00384,P20813
DB00384,P23381
DB00384,P25116
DB00384,P25815
DB00384,P28062
DB00384,P28065
DB00384,P30531
DB00384,P30872
DB00384,P30874
DB00384,P30988
DB00384,P31327
DB00384,P31391
DB00384,P32238
DB00384,P32239
DB00384,P32245
DB00384,P32745
DB00384,P32754
DB00384,P33032
DB00384,P34981
DB00384,P34998
DB00384,P35346
DB00384,P35610
DB00384,P39900
DB00384,P40306
DB00384,P41968
DB00384,P49146
DB00384,P49327
DB00384,P49354
DB00384,P49356
DB00384,P49721
DB00384,P50135
DB00384,P53396
DB00384,P55157
DB00384,P61626
DB00384,P68133
DB00384,Q01726
DB00384,Q02643
DB00384,Q13509
DB00384,Q14145
DB00384,Q15910
DB00384,Q16602
DB00384,Q16739
DB00384,Q8TE23
DB00384,Q92800
DB00384,Q92847
DB00384,Q9H3S4
DB00384,Q9NQX3
DB00384,Q9UEW3
DB00384,Q9UGM6
DB00384,Q9UL51
DB00384,Q9Y234
DB00384,Q9Y289
DB00384,Q9Y3I0
DB00403,O00142
DB00403,O00244
DB00403,O00764
DB00403,O14746
DB00403,O14980
DB00403,O43613
DB00403,O43614
DB00403,O43766
DB00403,O60502
DB00403,O60894
DB00403,O60895
DB00403,O60896
DB00403,O75874
DB00403,O95622
DB00403,P01350
DB00403,P06280
DB00403,P07098
DB00403,P08174
DB00403,P09110
DB00403,P11168
DB00403,P11387
DB00403,P11413
DB00403,P14207
DB00403,P15144
DB00403,P15328
DB00403,P16233
DB00403,P16444
DB00403,P18858
DB00403,P19801
DB00403,P19971
DB00403,P20594
DB00403,P20618
DB00403,P23381
DB00403,P25092
DB00403,P25815
DB00403,P28062
DB00403,P28065
DB00403,P28074
DB00403,P30518
DB00403,P30559
DB00403,P30872
DB00403,P30988
DB00403,P31391
DB00403,P31639
DB00403,P32245
DB00403,P32745
DB00403,P33032
DB00403,P34981
DB00403,P35346
DB00403,P35610
DB00403,P37088
DB00403,P37288
DB00403,P39900
DB00403,P40306
DB00403,P41968
DB00403,P43220
DB00403,P47901
DB00403,P49146
DB00403,P49354
DB00403,P49356
DB00403,P49721
DB00403,P49916
DB00403,P50135
DB00403,P51168
DB00403,P51170
DB00403,P51172
DB00403,P51681
DB00403,P51788
DB00403,P53396
DB00403,P55157
DB00403,P61073
DB00403,P61626
DB00403,P68133
DB00403,Q01718
DB00403,Q02643
DB00403,Q04206
DB00403,Q08462
DB00403,Q13509
DB00403,Q14145
DB00403,Q14534
DB00403,Q15910
DB00403,Q16602
DB00403,Q16739
DB00403,Q16850
DB00403,Q8TE23
DB00403,Q92800
DB00403,Q92847
DB00403,Q92911
DB00403,Q99519
DB00403,Q9H3S4
DB00403,Q9NQX3
DB00403,Q9UEW3
DB00403,Q9UGM6
DB00403,Q9UL51
DB00403,Q9UM07
DB00403,Q9Y234
DB00403,Q9Y289
DB00403,Q9Y3I0
DB00403,Q9Y3R4
DB00419,O00142
DB00419,O00244
DB00419,O00764
DB00419,O14746
DB00419,O14980
DB00419,O43613
DB00419,O43614
DB00419,O43766
DB00419,O60502
DB00419,O60894
DB00419,O60895
DB00419,O60896
DB00419,O75874
DB00419,O95622
DB00419,P00749
DB00419,P01350
DB00419,P04156
DB00419,P06280
DB00419,P07098
DB00419,P08174
DB00419,P08473
DB00419,P09110
DB00419,P11168
DB00419,P11387
DB00419,P11413
DB00419,P13716
DB00419,P14207
DB00419,P15144
DB00419,P15328
DB00419,P16066
DB00419,P16233
DB00419,P16444
DB00419,P18858
DB00419,P19634
DB00419,P19801
DB00419,P19971
DB00419,P20594
DB00419,P20618
DB00419,P20813
DB00419,P23381
DB00419,P25116
DB00419,P25815
DB00419,P28062
DB00419,P28065
DB00419,P28074
DB00419,P30411
DB00419,P30518
DB00419,P30531
DB00419,P30559
DB00419,P30872
DB00419,P30874
DB00419,P30988
DB00419,P31327
DB00419,P31391
DB00419,P31639
DB00419,P32238
DB00419,P32239
DB00419,P32245
DB00419,P32745
DB00419,P32754
DB00419,P33032
DB00419,P34981
DB00419,P34998
DB00419,P35346
DB00419,P35610
DB00419,P37288
DB00419,P39900
DB00419,P41968
DB00419,P43220
DB00419,P47901
DB00419,P48735
DB00419,P49146
DB00419,P49327
DB00419,P49354
DB00419,P49356
DB00419,P49721
DB00419,P49916
DB00419,P50135
DB00419,P51172
DB00419,P51681
DB00419,P51788
DB00419,P53396
DB00419,P55157
DB00419,P61073
DB00419,P61626
DB00419,P68133
DB00419,P78348
DB00419,Q01718
DB00419,Q01726
DB00419,Q02643
DB00419,Q04206
DB00419,Q08462
DB00419,Q08828
DB00419,Q13509
DB00419,Q14145
DB00419,Q14534
DB00419,Q15910
DB00419,Q16515
DB00419,Q16602
DB00419,Q16850
DB00419,Q8TE23
DB00419,Q92800
DB00419,Q92847
DB00419,Q92911
DB00419,Q99519
DB00419,Q9H3S4
DB00419,Q9NQX3
DB00419,Q9UEW3
DB00419,Q9UGM6
DB00419,Q9UL51
DB00419,Q9UM07
DB00419,Q9UNN8
DB00419,Q9Y234
DB00419,Q9Y289
DB00419,Q9Y3I0
DB00419,Q9Y3R4
DB00428,O00142
DB00428,O00764
DB00428,O14980
DB00428,O43613
DB00428,O43614
DB00428,O43766
DB00428,O60894
DB00428,O60896
DB00428,P06280
DB00428,P07098
DB00428,P09110
DB00428,P15144
DB00428,P16233
DB00428,P16444
DB00428,P20594
DB00428,P23381
DB00428,P25092
DB00428,P25815
DB00428,P30531
DB00428,P30988
DB00428,P31391
DB00428,P32238
DB00428,P33032
DB00428,P35346
DB00428,P35610
DB00428,P37288
DB00428,P41968
DB00428,P47901
DB00428,P49146
DB00428,P49354
DB00428,P49356
DB00428,P50135
DB00428,P61626
DB00428,Q02643
DB00428,Q08462
DB00428,Q08828
DB00428,Q16602
DB00428,Q16739
DB00428,Q16850
DB00428,Q8TE23
