drug,protein
DB00280,P12104
DB00280,P10826
DB00281,O43353
DB00281,Q9NXA8
DB00282,O95363
DB00282,P25774
DB00283,Q9Y6L6
DB00283,Q10588
DB00284,P17735
DB00284,P40939
DB00285,P54710
DB00285,P19440
DB00287,Q05932
DB00287,Q9Y6T7
DB00288,O60840
DB00288,P42574
DB00289,Q8NEY4
DB00289,O96013
DB00292,P05543
DB00292,Q14181
DB00293,P06493
DB00293,Q96SL4
DB00294,Q9Y6K1
DB00294,Q9UBF8
DB00295,P03891
DB00295,P54687
DB00296,P48547
DB00296,P56373
DB00297,P00414
DB00297,Q8IWT1
DB00298,P02786
DB00298,Q59H18
DB00302,P46734
DB00302,Q02928
DB00304,P22570
DB00304,P05109
DB00306,Q16760
DB00306,P05155
DB00307,O75385
DB00307,P61769
DB00308,P35908
DB00308,Q9ULD8
DB00309,P55789
DB00309,P21462
DB00310,Q13002
DB00310,P54886
DB00312,P33261
DB00312,P20815
DB00313,O43193
DB00313,Q8N907
DB00315,Q9BYV1
DB00315,P21860
DB00316,P17544
DB00316,P32297
DB00317,Q16558
DB00317,O14649
DB00318,Q13255
DB00318,Q12866
DB00320,Q02218
DB00320,P24530
DB00321,P80511
DB00321,Q13188
DB00322,P48039
DB00322,Q9NVS9
DB00323,O95835
DB00323,P22352
DB00324,Q9Y5K8
DB00324,P06241
DB00327,P07327
DB00327,Q9Y5K3
DB00328,Q16099
DB00328,P35556
DB00331,P05166
DB00331,P17812
DB00332,Q8IU85
DB00332,P56373
DB00333,P29597
DB00333,P78352
DB00334,P27797
DB00334,Q9UN88
DB00335,P48163
DB00335,P54687
DB00337,Q12882
DB00337,P57059
DB00338,O60674
DB00338,P42262
DB00340,Q13332
DB00340,P30085
DB00341,P14735
DB00341,P51812
DB00342,Q9UNQ0
DB00342,P12814
DB00343,P51693
DB00343,Q8IVH4
DB00344,Q9NR96
DB00344,P01008
DB00346,P09429
DB00346,P13645
DB00347,P52209
DB00347,P59768
DB00349,P29474
DB00349,Q14032
DB00350,Q9UBM7
DB00350,P20701
DB00351,P30043
DB00351,O15067
DB00353,Q96A70
DB00353,P24941
DB00354,O43451
DB00354,Q92806
DB00356,Q02218
DB00356,P41743
DB00357,Q9BY66
DB00357,Q99584
DB00358,O43772
DB00358,Q15904
DB00360,Q8N8R3
DB00360,Q9BYV1
DB00361,O60603
DB00361,P08069
DB00363,Q96G91
DB00363,P35222
DB00364,Q15822
DB00364,P34896
DB00366,P09429
DB00366,Q6YP21
DB00367,Q02641
DB00367,Q12852
DB00368,P00403
DB00368,Q8TCT1
DB00370,Q16772
DB00370,Q99584
DB00371,Q9Y5Y9
DB00371,P02647
DB00372,P53671
DB00372,P35908
DB00373,P31939
DB00373,P28702
DB00374,Q05513
DB00374,P54687
DB00376,Q05586
DB00376,P42684
DB00377,P45954
DB00377,Q9C098
DB00378,P56696
DB00378,Q9NSA2
DB00379,Q9H252
DB00379,Q02641
DB00380,P16152
DB00380,Q86VZ1
DB00381,P07359
DB00381,P27986
DB00382,Q13126
DB00382,Q06481
DB00383,P49840
DB00383,P29275
DB00385,O75469
DB00385,P78330
DB00387,Q8IVL5
DB00387,Q15569
DB00388,Q15750
DB00388,P23141
DB00389,P00740
DB00389,Q9Y5S1
DB00390,Q16772
DB00390,P35462
DB00391,Q9NSD9
DB00391,Q9NYY3
DB00392,Q9UHF0
DB00392,Q9UHI5
DB00393,P00738
DB00393,P50213
DB00394,P16219
DB00394,Q13630
DB00395,Q6PIU1
DB00395,O75116
DB00396,Q14541
DB00396,O15270
DB00397,Q9Y257
DB00397,P13637
DB00398,P50897
DB00398,O15342
DB00399,Q16836
DB00399,Q02809
DB00400,P28222
DB00400,P25021
DB00401,P04629
DB00401,Q9BPV8
DB00402,Q99259
DB00402,P80075
DB00404,Q03181
DB00404,Q9UGJ0
DB00405,P04279
DB00405,P28331
DB00408,O75311
DB00408,P11766
DB00409,P54760
DB00409,P30101
DB00411,P30041
DB00411,P14618
DB00412,P07550
DB00412,P05090
DB00413,P47869
DB00413,Q05329
DB00414,O60674
DB00414,Q9UJ90
DB00415,P78356
DB00415,P24462
DB00416,Q9Y285
DB00416,O15440
DB00418,Q9UNQ0
DB00418,P59768
DB00420,O75911
DB00420,Q9UGJ0
DB00421,Q9Y6Y9
DB00421,Q13315
DB00422,P01138
DB00422,P08684
DB00423,P50993
DB00423,P50440
DB00424,Q9HBA0
DB00424,Q96KK3
DB00425,Q9Y5Y9
DB00425,O14832
DB00427,P31151
DB00427,P11926
DB00429,Q9UHQ9
DB00429,P30711
DB00431,Q9HBH9
DB00431,Q16513
DB00432,Q96GA7
DB00432,Q8NET8
DB00433,Q99250
DB00433,Q9P286
DB00434,Q15080
DB00434,Q7L7X3
DB00435,P29317
DB00435,P30838
DB00436,Q02218
DB00436,O75880
DB00437,P41595
DB00437,P05164
DB00439,P01133
DB00439,O95169
DB00441,P24530
DB00441,P51693
DB00443,Q07820
DB00443,P49069
DB00444,P35228
DB00444,P25311
DB00445,Q6NUM9
DB00445,O15239
DB00448,P48549
DB00448,Q9Y6J6
DB00449,P30968
DB00449,P36543
DB00450,Q15746
DB00450,O75380
DB00451,P51858
DB00451,P27797
DB00454,P62508
DB00454,P01189
DB00455,P10606
DB00455,P04271
DB00457,Q07820
DB00457,Q13882
DB00458,Q8IVL6
DB00458,P17752
DB00459,Q9Y5K3
DB00459,O43617
DB00461,Q12882
DB00461,P35218
DB00462,P16435
DB00462,Q14571
DB00464,Q15596
DB00464,P68871
DB00465,Q01814
DB00465,Q7KZI7
DB00467,P26439
DB00467,P51582
DB00468,P04279
DB00468,P35372
DB00469,P10415
DB00469,P53667
DB00470,P02743
DB00470,P08912
DB00471,P31260
DB00471,Q02083
DB00472,P24530
DB00472,Q00537
DB00474,Q8NEY4
DB00474,O76083
DB00475,P04049
DB00475,Q9Y6R4
DB00476,P24557
DB00476,P78508
DB00477,P05452
DB00477,Q9UGI6
DB00480,O43175
DB00480,Q9UKG9
DB00481,O75936
DB00481,Q02641
DB00482,Q14831
DB00482,Q13131
DB00483,Q9HBG4
DB00483,Q15080
DB00484,P29803
DB00484,P17050
DB00486,Q99437
DB00486,O95167
DB00487,P49619
DB00487,P42680
DB00489,Q9NPD5
DB00489,Q9Y487
DB00490,Q13002
DB00490,Q14432
DB00491,P69905
DB00491,Q06323
DB00492,Q16832
DB00492,P21397
DB00493,O15239
DB00493,Q8NBN7
DB00494,Q9Y233
DB00494,Q86W47
DB00496,P54762
DB00496,P04035
DB00497,Q15391
DB00497,P18846
DB00498,Q9H422
DB00498,P07195
DB00499,Q8TDN2
DB00499,O95907
DB00500,P48029
DB00500,Q8N5S9
DB00501,P07355
DB00501,Q9NS40
DB00502,P05129
DB00502,P35398
DB00503,O96000
DB00503,Q9P0J0
DB00504,P21728
DB00504,Q14181
DB00508,P23975
DB00508,P68400
DB00509,P40933
DB00509,Q14643
DB00511,P42681
DB00511,P06702
DB00513,P51858
DB00513,P07237
DB00514,Q01814
DB00514,P08912
DB00517,Q9NPA1
DB00517,Q02156
DB00518,P00325
DB00518,P46597
DB00519,Q9NQU5
DB00519,P11388
DB00521,P62937
DB00521,O14939
DB00523,P41595
DB00523,P60568
DB00524,Q04912
DB00524,P01584
DB00527,P49840
DB00527,Q02252
DB00528,O14958
DB00528,Q16647
DB00530,O14757
DB00530,Q9UBV8
DB00531,Q9UNQ0
DB00531,P23415
DB00532,P00734
DB00532,P40933
DB00533,P18847
DB00533,Q8NFJ5
DB00535,P20061
DB00535,O15440
DB00536,P51575
DB00536,O43920
DB00537,P20061
DB00537,Q9UKU7
DB00539,P29474
DB00539,O95139
DB00540,Q92570
DB00540,Q12809
DB00541,P47870
DB00541,P03952
DB00542,P48448
DB00542,Q99653
DB00543,Q14831
DB00543,P22607
DB00544,Q16719
DB00544,P68366
DB00545,P49821
DB00545,Q14571
DB00547,Q99571
DB00547,P41231
DB00548,P35527
DB00548,Q9H1R3
DB00549,Q02928
DB00549,Q7KZI7
DB00550,Q16620
DB00550,P05177
DB00552,Q04609
DB00552,Q02127
DB00554,Q92781
DB00554,Q13315
DB00555,P54619
DB00555,P29323
DB00557,P17050
DB00557,P10828
DB00559,P42330
DB00559,Q9NZK7
DB00561,Q14624
DB00561,Q99835
DB00562,Q14697
DB00562,P02763
DB00563,P09619
DB00563,P00395
DB00564,P10632
DB00564,P52895
DB00565,P16455
DB00565,Q9NS18
DB00568,Q9Y2H1
DB00568,P30043
DB00569,P04271
DB00569,P04626
DB00570,P56373
DB00570,P06493
DB00571,P31152
DB00571,P35348
DB00572,O00305
DB00572,Q9UQD0
DB00573,P09884
DB00573,Q16720
DB00574,Q9UP52
DB00574,P04075
DB00575,P42858
DB00575,P06213
DB00579,P08779
DB00579,P25021
DB00580,P04637
DB00580,P05164
DB00583,P14060
DB00583,Q02809
DB00584,P36544
DB00584,O00483
DB00585,P48058
DB00585,P00750
DB00586,Q8IVH4
DB00586,Q15493
DB00588,Q96SL4
DB00588,P41743
DB00589,Q05940
DB00589,Q13126
DB00590,P04626
DB00590,P51884
DB00591,Q9UJ96
DB00591,P51693
DB00592,Q9BQ31
DB00592,Q13002
DB00593,P11229
DB00593,Q16512
DB00596,Q8NER1
DB00596,P10909
DB00598,P22352
DB00598,P10253
DB00599,Q9NUV7
DB00599,O15427
DB00600,Q9UBN1
DB00600,Q969G6
DB00602,O43674
DB00602,Q9NQU5
DB00603,P00747
DB00603,P07202
DB00604,Q99437
DB00604,O14556
DB00605,Q13393
DB00605,O15269
DB00606,P11498
DB00606,P23458
DB00608,P27986
DB00608,P07741
DB00610,Q9UBM7
DB00610,O14764
DB00611,P31644
DB00611,Q9NPC2
DB00612,Q9UNK4
DB00612,Q99437
DB00615,P22459
DB00615,Q92731
DB00617,Q9ULY5
DB00617,P04181
DB00619,P09917
DB00619,Q9Y285
DB00620,P05121
DB00620,P08243
DB00621,P55211
DB00621,P52429
DB00622,P04040
DB00622,Q9UGN5
DB00623,P09429
DB00623,P41240
DB00624,P09601
DB00624,P05155
DB00626,P31153
DB00626,P02792
DB00627,Q71U36
DB00627,P06401
DB00628,O00299
DB00628,P14061
DB00629,P30086
DB00629,O14730
DB00630,P50416
DB00630,P23141
DB00631,Q16322
DB00631,Q92570
DB00633,O14732
DB00633,P48637
DB00635,P09622
DB00635,Q96NR8
DB00636,O75469
DB00636,P17812
DB00637,P06703
DB00637,P98194
DB00640,P48167
DB00640,P21554
DB00641,P23219
DB00641,Q9UHW9
DB00642,Q13315
DB00642,P22570
DB00643,P02763
DB00643,O75185
DB00644,O15304
DB00644,Q96L12
DB00645,O00469
DB00645,P28161
DB00647,P48664
DB00647,P14780
DB00648,O96013
DB00648,P05090
DB00651,Q16773
DB00651,Q16620
DB00652,Q96RP8
DB00652,P17735
DB00653,O60658
DB00653,Q9H6Z9
DB00654,P55211
DB00654,P17812
DB00655,P04114
DB00655,P54284
DB00656,Q9NR33
DB00656,P14902
DB00657,Q7KZI7
DB00657,P00325
DB00659,Q14654
DB00659,P22455
DB00661,P05089
DB00661,O60701
DB00663,Q9NPC2
DB00663,P13500
DB00665,Q9BYV1
DB00665,P04818
DB00666,P05166
DB00666,P36897
DB00668,P23743
DB00668,Q9Y6R4
DB00669,Q02641
DB00669,P31152
DB00670,P26447
DB00670,P07998
DB00672,Q14032
DB00672,Q0VD83
DB00673,P02751
DB00673,P50993
DB00674,Q16513
DB00674,Q9NR63
DB00675,Q96Q40
DB00675,P27338
DB00677,O95479
DB00677,P06858
DB00678,O75762
DB00678,P52429
DB00679,P09211
DB00679,P07949
DB00680,O15528
DB00680,P43003
DB00682,Q9HCC0
DB00682,P02786
DB00683,P02649
DB00683,Q03013
DB00685,P11216
DB00685,P98164
DB00686,Q9NSD9
DB00686,P54762
DB00687,Q16773
DB00687,Q02818
DB00688,Q6YP21
DB00688,Q96GD0
DB00690,Q13554
DB00690,Q8IVL6
DB00691,P51858
DB00691,P31415
DB00692,P07900
DB00692,O94903
DB00694,P19878
DB00694,Q9P286
DB00695,P21695
DB00695,Q14457
DB00696,Q9HAB3
DB00696,Q16795
DB00697,P11217
DB00697,P02538
DB00699,P41180
DB00699,Q13956
DB00700,P04054
DB00700,P08263
DB00703,Q9Y600
DB00703,Q00975
DB00704,P04731
DB00704,Q13946
DB00706,P29590
DB00706,Q12852
DB00708,Q9HBH9
DB00708,P22455
DB00710,P37173
DB00710,Q9NPA2
DB00711,P36021
DB00711,P09486
DB00712,P48544
DB00712,O60603
DB00713,P02655
DB00713,P34995
DB00714,Q969S8
DB00714,Q03403
DB00715,Q96GD4
DB00715,P34903
DB00716,P30049
DB00716,O60285
DB00717,Q9Y285
DB00717,Q9UHD2
DB00719,Q15746
DB00719,O76074
DB00720,P09619
DB00720,Q9NR63
DB00721,P08700
DB00721,O60218
DB00722,Q96RD7
DB00722,P36896
DB00723,P01133
DB00723,P10620
DB00724,O43741
DB00724,Q8TBX8
DB00725,P80511
DB00725,P08519
DB00726,P53778
DB00726,Q9Y698
DB00728,Q96PR1
DB00728,O00264
DB00731,P27824
DB00731,Q15738
DB00732,P22607
DB00732,Q15878
DB00733,Q9P0X4
DB00733,Q96A70
DB00734,Q9ULB1
DB00734,P48443
DB00736,O14920
DB00736,Q9ULB1
DB00737,Q9P0X4
DB00737,P36543
DB00740,P19784
DB00740,Q06432
DB00741,Q8N8R3
DB00741,P17735
DB00744,Q9NXA8
DB00744,P80075
DB00745,Q9UGN5
DB00745,P25103
DB00746,P18089
DB00746,P00367
DB00747,Q92918
DB00747,O43676
DB00748,P42680
DB00748,P48549
DB00749,O75762
DB00749,P07327
DB00750,P00505
DB00750,P00738
DB00751,Q13126
DB00751,Q01064
DB00752,O15304
DB00752,P16083
DB00753,P18825
DB00753,Q13153
DB00754,Q01959
DB00754,Q00653
DB00755,P04637
DB00755,O43181
DB00756,Q14520
DB00756,P27707
DB00757,P15531
DB00757,P56556
DB00758,P35222
DB00758,P00742
DB00761,Q02809
DB00761,Q14123
DB00763,Q16558
DB00763,Q9BXJ7
DB00765,P24530
DB00765,Q9Y478
DB00768,P54886
DB00768,O43677
DB00769,Q9HBA0
DB00769,P21917
DB00770,Q14003
DB00770,Q16760
DB00771,P56373
DB00771,P51659
DB00772,Q15185
DB00772,Q9NYK1
DB00773,Q9UBF8
DB00773,P35556
DB00774,O43674
DB00774,P43155
DB00775,P22460
DB00775,Q99720
DB00776,Q9UJ96
DB00776,Q9Y285
DB00777,Q9H3N8
DB00777,P25311
DB00778,P52895
DB00778,P51580
DB00780,P61769
DB00780,Q9UGI6
DB00782,P25713
DB00782,P07900
DB00783,Q14643
DB00783,P10915
DB00784,P00450
DB00784,P51580
DB00788,O95977
DB00788,Q8IVL5
DB00789,P49888
DB00789,P00450
DB00790,O60488
DB00790,P01579
DB00792,O75348
DB00792,P23141
DB00794,Q9UBN1
DB00794,P04271
DB00795,P00387
DB00795,Q9BXA7
DB00796,P40926
DB00796,Q15274
DB00797,P21549
DB00797,Q16568
DB00798,P36955
DB00798,O76082
DB00799,P62166
DB00799,Q96L12
DB00800,P01100
DB00800,Q9NSA0
DB00801,Q12879
DB00801,P36955
DB00802,P53667
DB00802,P04217
DB00804,Q9UHF0
DB00804,O00299
DB00805,P07359
DB00805,Q00987
DB00806,Q7RTV2
DB00806,P31153
DB00807,P04839
DB00807,Q15569
DB00808,Q8N5S9
DB00808,P09960
DB00809,Q9H2M3
DB00809,P35913
DB00810,Q32MK0
DB00810,P11142
DB00811,P24941
DB00811,P40926
DB00812,Q0VD83
DB00812,Q13557
DB00813,Q15569
DB00813,Q9UKV0
DB00814,Q93088
DB00814,Q13546
DB00816,Q12852
DB00816,P78352
DB00818,O75914
DB00818,P31350
DB00819,P08631
DB00819,Q9NRP7
DB00820,Q06203
DB00820,P29376
DB00821,Q8TC12
DB00821,P22033
DB00822,P31415
DB00822,P32418
DB00823,P30968
DB00823,P05067
DB00824,Q9ULX7
DB00824,O95264
DB00825,P09455
DB00825,P32119
DB00829,P08913
DB00829,P40261
DB00830,Q9NYL2
DB00830,P27448
DB00831,P27487
DB00831,Q96RP8
DB00834,O60931
DB00834,P15814
DB00835,Q9GZU7
DB00835,Q9Y2U5
DB00836,P05108
DB00836,O75380
DB00838,O43617
DB00838,P23921
DB00839,P11021
DB00839,P30101
DB00841,P19878
DB00841,Q93050
DB00842,Q07817
DB00842,P14920
DB00843,P01303
DB00843,P00734
DB00844,Q9Y6T7
DB00844,Q70Z44
DB00845,P23921
DB00845,Q9ULY5
DB00846,O60931
DB00846,Q9UGI9
DB00848,P01579
DB00848,Q9NR33
DB00849,Q03721
DB00849,Q9H2K8
DB00850,O95747
DB00850,P01106
DB00851,P12931
DB00851,O14880
DB00852,P55017
DB00852,P08908
DB00854,Q9UBL9
DB00854,P28161
DB00860,Q9H3N8
DB00860,Q14831
DB00861,P23469
DB00861,P49821
DB00862,O14732
DB00862,Q7LG56
DB00863,Q14353
DB00863,P11766
DB00864,Q07817
DB00864,P0CG29
DB00865,Q9NSA2
DB00865,P24752
DB00867,P02750
DB00867,P43657
DB00868,Q9H1R3
DB00868,P09669
DB00869,P07711
DB00869,Q9UJ90
DB00870,P11678
DB00870,Q8TCU5
DB00871,P43115
DB00871,P43003
DB00874,O96000
DB00874,P48163
DB00875,Q03181
DB00875,Q9UHD2
DB00876,Q16775
DB00876,P12429
DB00877,P00846
DB00877,Q13547
DB00880,Q99250
DB00880,P12821
DB00881,P08913
DB00881,Q9NR33
DB00882,P15428
DB00882,Q14542
DB00884,P21453
DB00884,P49286
DB00887,P00739
DB00887,Q16718
DB00889,P37058
DB00889,P09429
DB00890,P08185
DB00890,Q13237
DB00892,Q9BYZ2
DB00892,Q8NI60
DB00894,Q02750
DB00894,Q9UBC3
DB00896,Q9UJ96
DB00896,P15428
DB00897,P23634
DB00897,P02748
DB00898,Q9UQQ2
DB00898,P10997
DB00899,P02792
DB00899,Q8IYT8
DB00900,P49589
DB00900,P28221
DB00902,O60931
DB00902,P34903
DB00903,Q9H4Y5
DB00903,P78352
DB00904,O43708
DB00904,Q15080
DB00905,P14416
DB00905,P01008
DB00907,P36507
DB00907,P23786
DB00908,Q08499
DB00908,P48448
DB00909,P16615
DB00909,O00483
DB00910,Q9Y600
DB00910,Q9UQL6
DB00912,Q9H2G2
DB00912,Q9Y6R4
DB00913,Q9UI32
DB00913,Q04912
DB00914,Q13133
DB00914,P41595
DB00915,P63252
DB00915,P14555
DB00917,P22626
DB00917,P06241
DB00918,O96013
DB00918,P31749
DB00920,P14625
DB00920,P08559
DB00921,P38936
DB00921,O75185
DB00922,O95665
DB00922,O95259
DB00924,Q9UI09
DB00924,Q9UF02
DB00925,Q9UI12
DB00925,P09429
DB00927,Q14697
DB00927,P18545
DB00928,Q05513
DB00928,P13500
DB00929,Q16595
DB00929,P07225
DB00933,O15067
DB00933,P68371
DB00934,P41143
DB00934,P06744
DB00935,P06703
DB00935,Q9BYZ2
DB00936,P09525
DB00936,O95237
DB00937,Q9UGI6
DB00937,P15086
DB00938,P21817
DB00938,Q06203
DB00939,P04155
DB00939,P07101
DB00940,Q9H422
DB00940,P14902
DB00941,Q16099
DB00941,Q9UJ90
DB00942,P43119
DB00942,Q06830
DB00944,O15304
DB00944,P00740
DB00945,Q9Y6F1
DB00945,O00180
DB00946,Q6FHJ7
DB00946,P02533
DB00947,P40933
DB00947,Q8TDN1
DB00949,Q15274
DB00949,O00204
DB00950,O60359
DB00950,P23975
DB00951,Q96RQ9
DB00951,P00390
DB00952,Q9NYY3
DB00952,P09455
DB00953,P30085
DB00953,Q9UBK8
DB00956,P19021
DB00956,P36897
DB00957,P11177
DB00957,Q8N1C3
DB00959,P02655
DB00959,P09172
DB00960,P07948
DB00960,Q86UE8
DB00961,P16389
DB00961,Q9ULX7
DB00962,P15169
DB00962,P07900
DB00963,P19099
DB00963,Q15800
DB00964,P08243
DB00964,P55789
DB00966,Q9H2M3
DB00966,Q9Y600
DB00967,O95168
DB00967,Q9Y694
DB00968,P22557
DB00968,P02585
DB00969,Q14831
DB00969,Q8N907
DB00970,P28845
DB00970,P24310
DB00972,Q9HBK9
DB00972,Q9NRF9
DB00975,Q32P28
DB00975,Q15738
DB00977,Q32P28
DB00977,P30049
DB00978,P99999
DB00978,Q01814
DB00979,P53805
DB00979,Q8IWT1
DB00980,P07741
DB00980,Q13237
DB00981,Q04828
DB00981,P01008
DB00982,P40933
DB00982,Q16795
DB00983,Q16288
DB00983,P04181
DB00984,P45381
DB00984,Q9UBL9
DB00985,P29376
DB00985,P10915
DB00986,Q9NR82
DB00986,P08686
DB00987,Q14643
DB00987,P00739
DB00988,Q92952
DB00988,P08865
DB00989,P28222
DB00989,O00222
DB00990,P30536
DB00990,P07355
DB00991,P14410
DB00991,O43617
DB00993,P55789
DB00993,O00483
DB00995,Q14457
DB00995,Q12879
DB00996,P22557
DB00996,P11473
DB00997,P09488
DB00997,P02656
DB00998,P12429
DB00998,Q16775
DB00999,P09429
DB00999,P04406
DB01001,Q8N4C8
DB01001,P22607
DB01002,O75460
DB01002,Q6NS38
DB01005,Q14457
DB01005,P03915
DB01006,P48729
DB01006,Q99712
DB01009,P30405
DB01009,P01106
DB01010,Q8NET8
DB01010,P25103
DB01011,P10515
DB01011,P05230
DB01012,P30044
DB01012,P08581
DB01013,O15440
DB01013,Q03721
DB01014,P05412
DB01014,P98164
DB01016,P02792
DB01016,Q07817
DB01017,Q08881
DB01017,P46663
DB01018,Q15569
DB01018,P48729
DB01019,Q00987
DB01019,P36888
DB01021,O15342
DB01021,P15313
DB01022,O43174
DB01022,P00325
DB01023,Q07864
DB01023,P05181
DB01024,P10606
DB01024,P00533
DB01025,P24046
DB01025,Q9UBC3
DB01026,O60674
DB01026,P32929
DB01028,P01031
DB01028,Q16878
DB01029,O95907
DB01029,Q9UHI5
DB01032,P35222
DB01032,Q9H4Y5
DB01033,O43708
DB01033,Q9P0X4
DB01035,P53985
DB01035,Q9Y271
DB01036,P28676
DB01036,Q86YN6
DB01037,P18507
DB01037,P23921
DB01039,P02750
DB01039,O15111
DB01041,P39086
DB01041,O95263
DB01043,P13073
DB01043,Q9Y5K3
DB01045,Q9NS75
DB01045,P02763
DB01047,Q75N90
DB01047,P32004
DB01050,P11802
DB01050,Q9UPZ9
DB01053,Q01064
DB01053,Q07912
DB01054,O14842
DB01054,O75340
DB01056,Q8TD30
DB01056,Q9UHW9
DB01057,P21802
DB01057,P02749
DB01059,Q9Y6R4
DB01059,P30968
DB01062,Q06830
DB01062,P02743
DB01063,Q9H4Y5
DB01063,Q9H252
DB01064,O00238
DB01064,O43181
DB01065,P34972
DB01065,Q96C36
DB01067,Q96RI1
DB01067,Q9UQL6
DB01068,P00738
DB01068,P41146
DB01069,Q16873
DB01069,O15111
DB01070,Q02083
DB01070,P00558
DB01073,Q02127
DB01073,Q70Z44
DB01074,Q14541
DB01074,Q92506
DB01075,Q8TD43
DB01075,P63244
DB01076,P24557
DB01076,P46439
DB01077,Q15139
DB01077,Q04759
DB01078,P14616
DB01078,P10828
DB01079,Q03393
DB01079,P43652
DB01080,P34903
DB01080,P54760
DB01081,P04818
DB01081,Q13639
DB01084,Q9UBK8
DB01084,P04049
DB01085,P02748
DB01085,P17568
DB01086,Q96Q40
DB01086,Q16539
DB01087,Q7KZI7
DB01087,Q969G6
DB01088,O15392
DB01088,P03891
DB01089,P00505
DB01089,P98194
DB01090,Q9Y646
DB01090,Q07912
